,Sujets,Group,Effectif,TrainingPhase,Compatibility,Quantiles,MeanRT,PercentCorrect,NofResp,asinPC
5,c7r1,control,1.0,late,compatible,6,420.91365461847374,0.9578,142,1.3639769551286793
6,c7r1,control,1.0,late,compatible,7,620.7028112449801,0.9227,142,1.2890378943844114
0,c7r1,control,1.0,late,incompatible,1,209.37993235625703,0.9526,126,1.3514413064416382
1,c7r1,control,1.0,late,incompatible,2,253.1228861330327,0.9448,126,1.3335378881184416
2,c7r1,control,1.0,late,incompatible,3,287.32807215332593,0.9211,126,1.286039520498914
3,c7r1,control,1.0,late,incompatible,4,333.303269447576,0.9526,126,1.3514413064416382
4,c7r1,control,1.0,late,incompatible,5,399.0755355129651,0.9132,126,1.2717232390801236
5,c7r1,control,1.0,late,incompatible,6,507.373167981962,0.832,126,1.1484995547958747
6,c7r1,control,1.0,late,incompatible,7,818.3089064261553,0.7813,126,1.0841431164015602
0,c8r2,control,1.0,early,compatible,1,218.72824631860775,1.0,106,1.5707963267948966
1,c8r2,control,1.0,early,compatible,2,256.144578313253,1.0,106,1.5707963267948966
2,c8r2,control,1.0,early,compatible,3,293.49397590361457,1.0,106,1.5707963267948966
3,c8r2,control,1.0,early,compatible,4,341.67336010709494,1.0,106,1.5707963267948966
4,c8r2,control,1.0,early,compatible,5,397.49665327978585,1.0,106,1.5707963267948966
5,c8r2,control,1.0,early,compatible,6,477.87148594377544,1.0,106,1.5707963267948966
6,c8r2,control,1.0,early,compatible,7,645.2610441767066,0.9813,106,1.4334659884960377
0,c8r2,control,1.0,early,incompatible,1,258.3356070941337,0.7326,104,1.0273350885175316
